,saliency,display_index,word_length,sentence_length,relative_word_frequency,lemma_polarity,normalized_saliency_rank,word_position,human_importance_rating,capitalization,dependency_relation,sentence_id,worker_id,completion_time_ms
0,0.8210906310607844,0,4,4,0.0,0.14504,0.5,1,7,first_upper,nsubj,reviews-212369-0003,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,16289
1,0.6742139384168709,1,4,3,0.0007158770561282565,0.0,0.6666666666666666,3,5,other,advmod,reviews-286172-0003,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,8767
2,0.3496350568381634,2,12,6,0.00034467986574311795,0.35669,0.8333333333333334,2,3,other,root,reviews-014764-0002,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,5635
3,0.9202620442736074,3,7,8,8.768556609106031e-06,0.63321,0.125,7,7,other,conj,reviews-335490-0003,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,4230
4,0.28738025537115003,4,8,4,0.00035293440351651773,0.08507999999999999,0.75,3,2,other,root,reviews-290238-0001,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,6455
5,0.180851148960022,5,6,4,7.090436292535739e-06,0.50422,0.75,3,3,other,conj,reviews-178726-0006,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,6669
6,0.6574040512507686,6,1,4,0.0005077750186724901,0.0,1.0,4,7,other,punct,reviews-336285-0001,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,6135
7,0.2853994344837494,7,2,4,0.037126718765600086,0.0,1.0,2,2,other,mark,reviews-287360-0007,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,5162
8,0.5054717990538455,8,6,6,1.037108592042541e-05,-0.1294,0.5,5,4,other,obj,reviews-343813-0004,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,3510
9,0.3398846358456462,9,4,1,0.0006835694604840159,0.74339,1.0,1,4,other,root,reviews-104703-0001,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,2803
10,0.053197699177087936,10,4,10,0.002922333144799288,0.0,0.9,5,1,other,cop,reviews-268952-0003,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,5668
11,0.8342086270014812,11,7,10,3.9277086328374953e-05,0.0,0.3,9,7,other,obl,reviews-169610-0003,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,5044
12,0.3455489164717944,12,10,7,0.0,0.0,0.7142857142857143,2,4,first_upper,obj,reviews-124492-0002,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,10359
13,0.39171152671552223,13,5,2,1.4211108987171845e-05,0.0,0.5,1,4,other,root,reviews-002317-0003,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,2504
14,0.8210923983480103,14,4,10,0.0008688127779519059,-0.0003,0.2,3,7,other,root,reviews-245928-0002,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,4264
15,0.7377304458699085,15,8,4,0.0,-0.13355999999999998,0.5,2,6,first_upper,amod,reviews-048201-0001,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,4673
16,0.7935346567972619,16,3,6,0.0,0.0,0.3333333333333333,1,7,first_upper,det,reviews-030395-0003,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,4498
17,0.20652126283751548,17,4,7,0.0,0.27532,0.7142857142857143,1,3,first_upper,root,reviews-059685-0001,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,6704
18,0.9965723555378844,18,2,5,0.019381276736916517,0.0,0.2,3,7,other,cop,reviews-256677-0002,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,3920
19,0.9497477871256188,19,3,3,0.0,0.0,0.3333333333333333,2,7,first_upper,compound,reviews-256677-0001,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,3415
20,0.6130718519016167,20,3,9,0.0006145548726899313,-0.45615,0.4444444444444444,4,5,other,amod,reviews-001325-0002,8cb2a64783a11131878e1cc3d8838ccd3fb7db330415ee0af6334dde3a603dc9,7338
